IDF,TF*IDF,DF,TF,Word
0.14285714285714285,1.1428571428571428,6.0,8.0,load
0.1,1.2000000000000002,9.0,12.0,code
0.1,1.8,9.0,18.0,session
0.2,0.8,4.0,4.0,reconnect
0.08333333333333333,1.6666666666666665,11.0,20.0,follow
0.2,1.2000000000000002,4.0,6.0,disk
0.25,1.5,3.0,6.0,zxid
0.25,1.0,3.0,4.0,fix
0.3333333333333333,1.6666666666666665,2.0,5.0,send
0.1111111111111111,0.8888888888888888,8.0,8.0,add
0.5,0.5,1.0,1.0,persist
0.2,0.8,4.0,4.0,applic
0.2,1.0,4.0,5.0,crash
0.2,1.2000000000000002,4.0,6.0,read
0.14285714285714285,1.1428571428571428,6.0,8.0,watch
0.5,0.5,1.0,1.0,report
0.14285714285714285,1.1428571428571428,6.0,8.0,restart
0.3333333333333333,0.6666666666666666,2.0,2.0,list
0.16666666666666666,1.1666666666666665,5.0,7.0,patch
0.1,1.0,9.0,10.0,race
0.25,1.0,3.0,4.0,timeout
0.2,1.0,4.0,5.0,manag
0.07692307692307693,1.153846153846154,12.0,15.0,set
0.02857142857142857,1.5142857142857142,34.0,53.0,zookeeper
0.3333333333333333,1.0,2.0,3.0,sync
0.2,0.8,4.0,4.0,procedur
0.06666666666666667,1.6,14.0,24.0,connect
0.5,0.5,1.0,1.0,respons
0.029411764705882353,1.3529411764705883,33.0,46.0,fail
0.1,1.4000000000000001,9.0,14.0,close
0.03333333333333333,1.5333333333333332,29.0,46.0,server
0.25,1.0,3.0,4.0,port
0.2,1.0,4.0,5.0,detect
0.02702702702702703,2.1081081081081083,36.0,78.0,lead
0.14285714285714285,1.2857142857142856,6.0,9.0,leak
0.16666666666666666,0.8333333333333333,5.0,5.0,state
0.5,0.5,1.0,1.0,version
0.2,1.4000000000000001,4.0,7.0,exit
0.2,0.8,4.0,4.0,method
0.25,1.25,3.0,5.0,address
0.06666666666666667,1.8,14.0,27.0,keeper
0.1111111111111111,1.6666666666666665,8.0,15.0,socket
0.125,2.0,7.0,16.0,thread
0.25,0.75,3.0,3.0,keep
0.5,0.5,1.0,1.0,inconsist
0.3333333333333333,2.333333333333333,2.0,7.0,commit
0.3333333333333333,1.0,2.0,3.0,implement
0.3333333333333333,0.6666666666666666,2.0,2.0,processor
0.3333333333333333,0.6666666666666666,2.0,2.0,oper
0.0625,1.75,15.0,28.0,elect
0.14285714285714285,1.2857142857142856,6.0,9.0,number
0.16666666666666666,1.1666666666666665,5.0,7.0,cnxn
0.14285714285714285,1.2857142857142856,6.0,9.0,peer
0.25,1.25,3.0,5.0,chang
0.14285714285714285,1.1428571428571428,6.0,8.0,miss
0.125,1.25,7.0,10.0,java
0.14285714285714285,1.5714285714285714,6.0,11.0,memori
0.5,0.5,1.0,1.0,transfer
0.2,0.8,4.0,4.0,support
0.14285714285714285,1.1428571428571428,6.0,8.0,system
0.2,1.2000000000000002,4.0,6.0,messag
0.07692307692307693,0.9230769230769231,12.0,12.0,start
0.125,1.0,7.0,8.0,call
0.14285714285714285,1.0,6.0,7.0,function
0.16666666666666666,0.8333333333333333,5.0,5.0,part
0.5,1.0,1.0,2.0,packet
0.2,0.8,4.0,4.0,bug
0.1111111111111111,1.1111111111111112,8.0,10.0,case
0.06666666666666667,1.0,14.0,15.0,exception
0.2,1.2000000000000002,4.0,6.0,provid
0.16666666666666666,1.0,5.0,6.0,servic
0.25,0.75,3.0,3.0,work
0.14285714285714285,1.1428571428571428,6.0,8.0,error
0.1,1.0,9.0,10.0,problem
0.25,0.75,3.0,3.0,observ
0.3333333333333333,0.6666666666666666,2.0,2.0,control
0.07692307692307693,1.153846153846154,12.0,15.0,creat
0.16666666666666666,1.1666666666666665,5.0,7.0,give
0.058823529411764705,1.5294117647058822,16.0,26.0,cluster
0.25,1.0,3.0,4.0,exist
0.25,1.5,3.0,6.0,expir
0.14285714285714285,1.5714285714285714,6.0,11.0,file
0.16666666666666666,1.0,5.0,6.0,return
0.25,1.75,3.0,7.0,check
0.5,0.5,1.0,1.0,end
0.125,1.25,7.0,10.0,receiv
0.3333333333333333,1.0,2.0,3.0,member
0.14285714285714285,1.1428571428571428,6.0,8.0,handl
0.14285714285714285,1.857142857142857,6.0,13.0,epoch
0.07142857142857142,1.6428571428571428,13.0,23.0,test
0.07692307692307693,1.9230769230769231,12.0,25.0,config
0.5,0.5,1.0,1.0,updat
0.02564102564102564,1.7692307692307692,38.0,69.0,node
0.16666666666666666,0.8333333333333333,5.0,5.0,trace
0.1111111111111111,1.4444444444444444,8.0,13.0,time
0.125,1.625,7.0,13.0,hang
0.25,0.75,3.0,3.0,user
0.25,1.0,3.0,4.0,multipl
0.14285714285714285,1.7142857142857142,6.0,12.0,data
0.25,0.75,3.0,3.0,class
0.07142857142857142,1.2857142857142856,13.0,18.0,quorum
0.25,0.75,3.0,3.0,request
0.16666666666666666,1.0,5.0,6.0,perform
0.16666666666666666,1.5,5.0,9.0,write
0.25,0.75,3.0,3.0,snapshot
0.5,0.5,1.0,1.0,allow
0.2,1.0,4.0,5.0,ensembl
