IDF,TF*IDF,DF,TF,Word
0.25,1.0,3.0,4.0,function
0.3333333333333333,2.333333333333333,2.0,7.0,txn
0.3333333333333333,0.6666666666666666,2.0,2.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,elect
0.5,1.0,1.0,2.0,creat
0.5,1.0,1.0,2.0,request
0.14285714285714285,1.4285714285714284,6.0,10.0,zookeeper
0.5,1.0,1.0,2.0,number
0.5,1.0,1.0,2.0,packet
0.3333333333333333,0.6666666666666666,2.0,2.0,return
0.16666666666666666,1.5,5.0,9.0,cluster
0.3333333333333333,0.6666666666666666,2.0,2.0,session
0.5,0.5,1.0,1.0,exist
0.5,0.5,1.0,1.0,connect
0.2,1.2000000000000002,4.0,6.0,fail
0.125,1.25,7.0,10.0,follow
0.5,1.0,1.0,2.0,patch
0.25,0.75,3.0,3.0,miss
0.5,0.5,1.0,1.0,check
0.5,0.5,1.0,1.0,member
0.5,0.5,1.0,1.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,zxid
0.5,0.5,1.0,1.0,java
0.1111111111111111,2.111111111111111,8.0,19.0,lead
0.3333333333333333,0.6666666666666666,2.0,2.0,receiv
0.5,0.5,1.0,1.0,system
0.5,0.5,1.0,1.0,send
0.5,0.5,1.0,1.0,write
0.3333333333333333,0.6666666666666666,2.0,2.0,start
0.3333333333333333,0.6666666666666666,2.0,2.0,state
0.3333333333333333,1.0,2.0,3.0,exit
0.3333333333333333,1.3333333333333333,2.0,4.0,restart
0.14285714285714285,1.4285714285714284,6.0,10.0,test
0.5,0.5,1.0,1.0,call
0.3333333333333333,0.6666666666666666,2.0,2.0,method
0.5,0.5,1.0,1.0,updat
0.1111111111111111,2.0,8.0,18.0,node
0.5,0.5,1.0,1.0,crash
0.5,1.0,1.0,2.0,read
0.3333333333333333,0.6666666666666666,2.0,2.0,ensembl
0.5,1.0,1.0,2.0,watch
0.25,1.75,3.0,7.0,sync
0.5,0.5,1.0,1.0,control
0.5,0.5,1.0,1.0,add
0.25,1.25,3.0,5.0,keeper
0.5,0.5,1.0,1.0,end
0.5,0.5,1.0,1.0,part
0.125,1.375,7.0,11.0,data
0.5,0.5,1.0,1.0,bug
0.3333333333333333,1.6666666666666665,2.0,5.0,oper
0.2,0.8,4.0,4.0,case
0.3333333333333333,1.0,2.0,3.0,quorum
0.5,0.5,1.0,1.0,thread
0.25,1.0,3.0,4.0,chang
0.5,0.5,1.0,1.0,provid
0.5,0.5,1.0,1.0,load
0.25,0.75,3.0,3.0,work
0.3333333333333333,1.0,2.0,3.0,list
0.1,1.6,9.0,16.0,server
0.5,0.5,1.0,1.0,perform
0.16666666666666666,0.8333333333333333,5.0,5.0,inconsist
0.25,1.25,3.0,5.0,snapshot
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,time
0.5,0.5,1.0,1.0,report
0.25,1.25,3.0,5.0,commit
0.3333333333333333,0.6666666666666666,2.0,2.0,problem
0.5,0.5,1.0,1.0,observ
