IDF,TF*IDF,DF,TF,Word
0.3333333333333333,1.0,2.0,3.0,oper
0.2,0.8,4.0,4.0,code
0.14285714285714285,1.5714285714285714,6.0,11.0,session
0.16666666666666666,1.1666666666666665,5.0,7.0,reconnect
0.25,0.75,3.0,3.0,follow
0.16666666666666666,1.1666666666666665,5.0,7.0,disk
0.3333333333333333,1.0,2.0,3.0,zxid
0.3333333333333333,0.6666666666666666,2.0,2.0,fix
0.16666666666666666,1.5,5.0,9.0,send
0.0625,1.25,15.0,20.0,add
0.25,0.75,3.0,3.0,persist
0.25,1.5,3.0,6.0,applic
0.2,1.0,4.0,5.0,return
0.14285714285714285,1.0,6.0,7.0,handl
0.07692307692307693,1.6153846153846154,12.0,21.0,watch
0.3333333333333333,1.0,2.0,3.0,report
0.2,0.8,4.0,4.0,restart
0.2,1.4000000000000001,4.0,7.0,list
0.3333333333333333,0.6666666666666666,2.0,2.0,patch
0.2,0.8,4.0,4.0,race
0.25,1.0,3.0,4.0,timeout
0.25,1.25,3.0,5.0,manag
0.09090909090909091,1.0,10.0,11.0,set
0.041666666666666664,1.4166666666666665,23.0,34.0,zookeeper
0.25,1.0,3.0,4.0,sync
0.25,1.25,3.0,5.0,procedur
0.5,1.5,1.0,3.0,member
0.07142857142857142,1.7142857142857142,13.0,24.0,connect
0.3333333333333333,0.6666666666666666,2.0,2.0,respons
0.125,1.0,7.0,8.0,fail
0.5,0.5,1.0,1.0,close
0.047619047619047616,1.619047619047619,20.0,34.0,server
0.25,1.5,3.0,6.0,port
0.25,1.0,3.0,4.0,detect
0.07142857142857142,1.9285714285714284,13.0,27.0,lead
0.5,0.5,1.0,1.0,leak
0.25,1.0,3.0,4.0,state
0.5,0.5,1.0,1.0,version
0.2,0.8,4.0,4.0,exit
0.5,0.5,1.0,1.0,method
0.25,1.25,3.0,5.0,address
0.3333333333333333,1.6666666666666665,2.0,5.0,peer
0.125,1.25,7.0,10.0,improve
0.3333333333333333,0.6666666666666666,2.0,2.0,socket
0.1,1.4000000000000001,9.0,14.0,thread
0.2,0.8,4.0,4.0,keep
0.5,0.5,1.0,1.0,inconsist
0.25,1.25,3.0,5.0,commit
0.2,0.8,4.0,4.0,implement
0.3333333333333333,1.3333333333333333,2.0,4.0,processor
0.1111111111111111,1.5555555555555554,8.0,14.0,load
0.25,2.0,3.0,8.0,elect
0.08333333333333333,1.5833333333333333,11.0,19.0,number
0.05,1.2000000000000002,19.0,24.0,keeper
0.25,1.25,3.0,5.0,chang
0.5,0.5,1.0,1.0,miss
0.2,0.8,4.0,4.0,java
0.25,1.0,3.0,4.0,memori
0.16666666666666666,1.8333333333333333,5.0,11.0,transfer
0.1111111111111111,1.0,8.0,9.0,support
0.25,1.5,3.0,6.0,cnxn
0.25,0.75,3.0,3.0,messag
0.14285714285714285,1.1428571428571428,6.0,8.0,start
0.3333333333333333,1.3333333333333333,2.0,4.0,call
0.1111111111111111,1.1111111111111112,8.0,10.0,function
0.5,0.5,1.0,1.0,part
0.16666666666666666,1.0,5.0,6.0,packet
0.5,0.5,1.0,1.0,bug
0.25,1.5,3.0,6.0,case
0.3333333333333333,0.6666666666666666,2.0,2.0,exception
0.5,0.5,1.0,1.0,provid
0.3333333333333333,0.6666666666666666,2.0,2.0,servic
0.25,0.75,3.0,3.0,work
0.25,1.0,3.0,4.0,error
0.16666666666666666,0.8333333333333333,5.0,5.0,problem
0.5,0.5,1.0,1.0,observ
0.25,0.75,3.0,3.0,control
0.14285714285714285,0.8571428571428571,6.0,6.0,creat
0.3333333333333333,0.6666666666666666,2.0,2.0,give
0.16666666666666666,1.3333333333333333,5.0,8.0,cluster
0.5,0.5,1.0,1.0,exist
0.5,0.5,1.0,1.0,expir
0.14285714285714285,1.5714285714285714,6.0,11.0,file
0.2,1.4000000000000001,4.0,7.0,check
0.5,0.5,1.0,1.0,end
0.1,1.5,9.0,15.0,perform
0.25,1.25,3.0,5.0,write
0.16666666666666666,1.1666666666666665,5.0,7.0,read
0.1111111111111111,1.0,8.0,9.0,test
0.25,0.75,3.0,3.0,config
0.3333333333333333,0.6666666666666666,2.0,2.0,updat
0.03125,1.9375,31.0,62.0,node
0.3333333333333333,0.6666666666666666,2.0,2.0,trace
0.08333333333333333,1.0833333333333333,11.0,13.0,time
0.5,1.0,1.0,2.0,user
0.16666666666666666,1.5,5.0,9.0,multipl
0.125,1.0,7.0,8.0,data
0.5,0.5,1.0,1.0,class
0.16666666666666666,2.1666666666666665,5.0,13.0,quorum
0.14285714285714285,0.8571428571428571,6.0,6.0,request
0.25,1.0,3.0,4.0,receiv
0.16666666666666666,1.6666666666666665,5.0,10.0,snapshot
0.14285714285714285,0.8571428571428571,6.0,6.0,allow
0.125,1.0,7.0,8.0,ensembl
