IDF,TF*IDF,DF,TF,Word
0.2,1.2000000000000002,4.0,6.0,oper
0.125,1.0,7.0,8.0,code
0.14285714285714285,2.4285714285714284,6.0,17.0,session
0.5,0.5,1.0,1.0,reconnect
0.16666666666666666,1.8333333333333333,5.0,11.0,follow
0.5,0.5,1.0,1.0,disk
0.16666666666666666,2.1666666666666665,5.0,13.0,zxid
0.25,1.0,3.0,4.0,fix
0.09090909090909091,1.4545454545454546,10.0,16.0,send
0.14285714285714285,0.8571428571428571,6.0,6.0,add
0.2,0.8,4.0,4.0,persist
0.09090909090909091,1.0,10.0,11.0,return
0.16666666666666666,1.1666666666666665,5.0,7.0,handl
0.06666666666666667,1.6666666666666667,14.0,25.0,watch
0.2,1.2000000000000002,4.0,6.0,report
0.2,0.8,4.0,4.0,restart
0.2,1.0,4.0,5.0,list
0.25,0.75,3.0,3.0,patch
0.2,0.8,4.0,4.0,race
0.2,1.6,4.0,8.0,timeout
0.5,1.0,1.0,2.0,manag
0.09090909090909091,1.0,10.0,11.0,set
0.045454545454545456,1.3181818181818181,21.0,29.0,zookeeper
0.14285714285714285,1.2857142857142856,6.0,9.0,sync
0.3333333333333333,0.6666666666666666,2.0,2.0,procedur
0.05555555555555555,1.611111111111111,17.0,29.0,connect
0.2,1.2000000000000002,4.0,6.0,respons
0.08333333333333333,1.1666666666666665,11.0,14.0,fail
0.14285714285714285,1.7142857142857142,6.0,12.0,close
0.041666666666666664,1.9166666666666665,23.0,46.0,server
0.25,0.75,3.0,3.0,detect
0.045454545454545456,1.9545454545454546,21.0,43.0,lead
0.16666666666666666,1.1666666666666665,5.0,7.0,leak
0.1,1.5,9.0,15.0,state
0.25,0.75,3.0,3.0,version
0.2,1.2000000000000002,4.0,6.0,exit
0.14285714285714285,1.4285714285714284,6.0,10.0,method
0.5,0.5,1.0,1.0,address
0.25,1.0,3.0,4.0,peer
0.16666666666666666,2.1666666666666665,5.0,13.0,socket
0.2,1.2000000000000002,4.0,6.0,thread
0.25,1.0,3.0,4.0,keep
0.3333333333333333,0.6666666666666666,2.0,2.0,inconsist
0.3333333333333333,1.3333333333333333,2.0,4.0,commit
0.5,0.5,1.0,1.0,implement
0.2,1.4000000000000001,4.0,7.0,processor
0.25,1.0,3.0,4.0,load
0.14285714285714285,1.5714285714285714,6.0,11.0,txn
0.125,1.875,7.0,15.0,elect
0.25,1.0,3.0,4.0,number
0.16666666666666666,1.3333333333333333,5.0,8.0,cnxn
0.1,1.4000000000000001,9.0,14.0,keeper
0.16666666666666666,1.1666666666666665,5.0,7.0,chang
0.25,0.75,3.0,3.0,miss
0.2,1.0,4.0,5.0,java
0.2,1.4000000000000001,4.0,7.0,memori
0.16666666666666666,1.0,5.0,6.0,transfer
0.3333333333333333,0.6666666666666666,2.0,2.0,support
0.5,0.5,1.0,1.0,system
0.25,2.25,3.0,9.0,messag
0.1,1.2000000000000002,9.0,12.0,start
0.1111111111111111,1.222222222222222,8.0,11.0,call
0.14285714285714285,1.0,6.0,7.0,function
0.5,0.5,1.0,1.0,part
0.3333333333333333,1.6666666666666665,2.0,5.0,packet
0.1111111111111111,1.0,8.0,9.0,bug
0.1,0.9,9.0,9.0,case
0.125,1.25,7.0,10.0,exception
0.25,0.75,3.0,3.0,provid
0.5,0.5,1.0,1.0,servic
0.25,0.75,3.0,3.0,work
0.125,1.25,7.0,10.0,error
0.1,0.9,9.0,9.0,problem
0.25,1.5,3.0,6.0,observ
0.25,0.75,3.0,3.0,control
0.07692307692307693,1.3076923076923077,12.0,17.0,creat
0.14285714285714285,1.1428571428571428,6.0,8.0,give
0.5,1.0,1.0,2.0,cluster
0.14285714285714285,0.8571428571428571,6.0,6.0,exist
0.2,1.0,4.0,5.0,expir
0.07692307692307693,2.230769230769231,12.0,29.0,file
0.25,0.75,3.0,3.0,crash
0.25,1.0,3.0,4.0,check
0.1111111111111111,1.4444444444444444,8.0,13.0,multipl
0.14285714285714285,1.857142857142857,6.0,13.0,receiv
0.5,1.0,1.0,2.0,member
0.25,0.75,3.0,3.0,read
0.14285714285714285,1.857142857142857,6.0,13.0,epoch
0.14285714285714285,1.1428571428571428,6.0,8.0,test
0.25,1.0,3.0,4.0,config
0.25,0.75,3.0,3.0,updat
0.02857142857142857,2.1142857142857143,34.0,74.0,node
0.5,0.5,1.0,1.0,trace
0.5,0.5,1.0,1.0,ensembl
0.3333333333333333,1.0,2.0,3.0,hang
0.3333333333333333,0.6666666666666666,2.0,2.0,user
0.16666666666666666,0.8333333333333333,5.0,5.0,end
0.05263157894736842,1.526315789473684,18.0,29.0,data
0.25,0.75,3.0,3.0,class
0.1,1.3,9.0,13.0,quorum
0.1111111111111111,1.5555555555555554,8.0,14.0,request
0.3333333333333333,0.6666666666666666,2.0,2.0,perform
0.125,1.375,7.0,11.0,write
0.2,1.4000000000000001,4.0,7.0,snapshot
0.2,1.2000000000000002,4.0,6.0,allow
0.1111111111111111,1.4444444444444444,8.0,13.0,time
