IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,set
0.5,0.5,1.0,1.0,request
0.5,0.5,1.0,1.0,zookeeper
0.5,0.5,1.0,1.0,packet
0.5,1.5,1.0,3.0,cluster
0.5,1.5,1.0,3.0,session
0.5,0.5,1.0,1.0,expir
0.5,1.0,1.0,2.0,reconnect
0.5,0.5,1.0,1.0,respons
0.5,0.5,1.0,1.0,fail
0.5,0.5,1.0,1.0,keep
0.5,0.5,1.0,1.0,miss
0.5,1.0,1.0,2.0,zxid
0.5,0.5,1.0,1.0,lead
0.5,1.0,1.0,2.0,memori
0.5,1.0,1.0,2.0,transfer
0.5,0.5,1.0,1.0,state
0.5,0.5,1.0,1.0,add
0.5,1.0,1.0,2.0,test
0.5,0.5,1.0,1.0,updat
0.3333333333333333,1.6666666666666665,2.0,5.0,node
0.5,0.5,1.0,1.0,return
0.5,1.0,1.0,2.0,timeout
0.3333333333333333,1.0,2.0,3.0,watch
0.5,0.5,1.0,1.0,part
0.25,1.0,3.0,4.0,data
0.3333333333333333,1.0,2.0,3.0,restart
0.5,0.5,1.0,1.0,case
0.3333333333333333,0.6666666666666666,2.0,2.0,work
0.3333333333333333,1.3333333333333333,2.0,4.0,list
0.5,1.0,1.0,2.0,server
0.5,0.5,1.0,1.0,snapshot
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,ensembl
0.5,1.0,1.0,2.0,commit
0.3333333333333333,1.0,2.0,3.0,chang
0.5,1.0,1.0,2.0,connect
