IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,oper
0.16666666666666666,0.8333333333333333,5.0,5.0,function
0.5,0.5,1.0,1.0,code
0.3333333333333333,1.0,2.0,3.0,elect
0.3333333333333333,1.6666666666666665,2.0,5.0,file
0.5,0.5,1.0,1.0,creat
0.5,0.5,1.0,1.0,list
0.07142857142857142,1.6428571428571428,13.0,23.0,zookeeper
0.2,1.6,4.0,8.0,keeper
0.3333333333333333,0.6666666666666666,2.0,2.0,number
0.5,0.5,1.0,1.0,fix
0.25,1.75,3.0,7.0,cluster
0.25,1.0,3.0,4.0,set
0.1111111111111111,1.0,8.0,9.0,connect
0.5,0.5,1.0,1.0,reconnect
0.5,0.5,1.0,1.0,respons
0.3333333333333333,0.6666666666666666,2.0,2.0,fail
0.5,0.5,1.0,1.0,follow
0.3333333333333333,0.6666666666666666,2.0,2.0,keep
0.5,0.5,1.0,1.0,miss
0.3333333333333333,0.6666666666666666,2.0,2.0,check
0.5,2.0,1.0,4.0,disk
0.3333333333333333,0.6666666666666666,2.0,2.0,java
0.25,1.25,3.0,5.0,lead
0.3333333333333333,0.6666666666666666,2.0,2.0,perform
0.3333333333333333,1.6666666666666665,2.0,5.0,session
0.16666666666666666,2.333333333333333,5.0,14.0,support
0.5,0.5,1.0,1.0,system
0.5,0.5,1.0,1.0,send
0.3333333333333333,1.0,2.0,3.0,port
0.3333333333333333,1.0,2.0,3.0,member
0.5,0.5,1.0,1.0,start
0.125,1.0,7.0,8.0,add
0.25,1.0,3.0,4.0,version
0.5,0.5,1.0,1.0,exit
0.5,1.0,1.0,2.0,persist
0.3333333333333333,0.6666666666666666,2.0,2.0,test
0.14285714285714285,1.0,6.0,7.0,config
0.3333333333333333,1.0,2.0,3.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,updat
0.06666666666666667,1.8666666666666667,14.0,28.0,node
0.5,0.5,1.0,1.0,applic
0.3333333333333333,0.6666666666666666,2.0,2.0,return
0.5,1.0,1.0,2.0,timeout
0.5,1.5,1.0,3.0,read
0.3333333333333333,1.3333333333333333,2.0,4.0,class
0.3333333333333333,1.6666666666666665,2.0,5.0,chang
0.3333333333333333,1.0,2.0,3.0,problem
0.2,1.0,4.0,5.0,user
0.25,2.0,3.0,8.0,address
0.3333333333333333,1.0,2.0,3.0,peer
0.5,0.5,1.0,1.0,multipl
0.25,0.75,3.0,3.0,data
0.3333333333333333,0.6666666666666666,2.0,2.0,bug
0.5,0.5,1.0,1.0,improve
0.3333333333333333,1.0,2.0,3.0,case
0.25,1.0,3.0,4.0,quorum
0.16666666666666666,1.3333333333333333,5.0,8.0,provid
0.5,0.5,1.0,1.0,servic
0.3333333333333333,1.0,2.0,3.0,work
0.5,0.5,1.0,1.0,request
0.1111111111111111,1.6666666666666665,8.0,15.0,authent
0.0625,1.25,15.0,20.0,server
0.5,0.5,1.0,1.0,race
0.5,1.0,1.0,2.0,snapshot
0.16666666666666666,0.8333333333333333,5.0,5.0,allow
0.5,0.5,1.0,1.0,report
0.5,0.5,1.0,1.0,commit
0.3333333333333333,0.6666666666666666,2.0,2.0,implement
0.5,0.5,1.0,1.0,processor
0.5,0.5,1.0,1.0,expir
