node,set,elect,creat,zookeeper,keeper,cluster,code,connect,fail,chang,server,detect,lead,fix,support,send,class,member,start,state,test,config,function,return,allow,trace,address,peer,bug,quorum,case,socket,work,keep,race,timeout,ensembl,problem,observ
0,1.0,4.0,0,0,0,0,0,0,0,0,6.0,0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
0,0,4.0,0,3.0,2.0,0,0,0,0,0,6.0,0,5.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
0,0,0,0,3.0,0,1.0,0,0,0,1.0,6.0,0,5.0,0,0,1.0,0,0,1.0,1.0,0,4.0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.0,0,0,0,6.0,0,0,0,1.0,0,0,1.0,0,0,0,4.0,0,0,0,0,2.0,2.0,0,2.0,0,0,0,0,0,0,0,1.0,0
4.0,0,0,2.0,0,0,0,0,5.0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0
4.0,0,0,0,0,0,0,0,5.0,2.0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,3.0,2.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
0,0,4.0,2.0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,0,5.0,0,0,6.0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,2.0,0,2.0,0,1.0,0,0,0,0,0
