IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,function
0.5,0.5,1.0,1.0,set
0.2,1.4000000000000001,4.0,7.0,elect
0.3333333333333333,0.6666666666666666,2.0,2.0,creat
0.25,1.0,3.0,4.0,zookeeper
0.3333333333333333,1.0,2.0,3.0,peer
0.5,2.0,1.0,4.0,cluster
0.5,0.5,1.0,1.0,code
0.16666666666666666,1.6666666666666665,5.0,10.0,connect
0.5,0.5,1.0,1.0,observ
0.3333333333333333,0.6666666666666666,2.0,2.0,fail
0.5,0.5,1.0,1.0,keep
0.5,0.5,1.0,1.0,detect
0.16666666666666666,2.333333333333333,5.0,14.0,lead
0.5,0.5,1.0,1.0,fix
0.5,0.5,1.0,1.0,send
0.5,0.5,1.0,1.0,bug
0.5,0.5,1.0,1.0,member
0.5,1.0,1.0,2.0,start
0.5,0.5,1.0,1.0,state
0.3333333333333333,0.6666666666666666,2.0,2.0,test
0.2,1.4000000000000001,4.0,7.0,config
0.2,1.2000000000000002,4.0,6.0,node
0.5,1.0,1.0,2.0,return
0.5,0.5,1.0,1.0,timeout
0.5,0.5,1.0,1.0,trace
0.5,0.5,1.0,1.0,class
0.3333333333333333,1.0,2.0,3.0,address
0.3333333333333333,1.0,2.0,3.0,keeper
0.5,0.5,1.0,1.0,problem
0.3333333333333333,0.6666666666666666,2.0,2.0,socket
0.5,0.5,1.0,1.0,case
0.3333333333333333,1.3333333333333333,2.0,4.0,quorum
0.5,0.5,1.0,1.0,work
0.14285714285714285,1.2857142857142856,6.0,9.0,server
0.5,0.5,1.0,1.0,race
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,ensembl
0.5,0.5,1.0,1.0,chang
0.5,1.0,1.0,2.0,support
