load,code,session,reconnect,follow,disk,zxid,fix,send,add,persist,applic,crash,handl,watch,report,restart,list,authent,patch,race,timeout,manag,set,zookeeper,sync,procedur,connect,respons,fail,close,server,port,detect,lead,leak,state,version,exit,method,address,peer,improve,socket,thread,keep,inconsist,commit,chang,processor,oper,txn,elect,number,cnxn,keeper,miss,java,memori,transfer,support,system,messag,class,start,call,function,part,packet,bug,case,exception,provid,servic,work,error,problem,observ,control,creat,give,cluster,exist,expir,file,return,check,multipl,perform,member,read,epoch,test,config,updat,node,trace,ensembl,hang,user,end,data,implement,quorum,request,receiv,write,snapshot,allow,time
0,0,0,0,26.0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0,95.0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,8.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0
0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,27.0
0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,0,0,0,0,0
0,0,0,0,26.0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,53.0,0,95.0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,19.0,0,0,0,0,0,0,122.0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0
0,0,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,0,13.0,0,11.0,0,0,8.0,0,0,0,0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,18.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,0,0,0,0,0,0,0,34.0,0,0,0,0,0,0
0,0,23.0,0,26.0,0,0,9.0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,0,0,52.0,0,0,0,0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,23.0,0,0,0,0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,8.0,0,0,28.0,0,0,25.0,0,0,0,19.0,0,0,0,0,0,0,122.0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0
