IDF,TF*IDF,DF,TF,Word
0.08333333333333333,1.4166666666666665,11.0,17.0,oper
0.041666666666666664,1.125,23.0,27.0,code
0.041666666666666664,2.0416666666666665,23.0,49.0,session
0.08333333333333333,1.0833333333333333,11.0,13.0,reconnect
0.037037037037037035,1.6296296296296295,26.0,44.0,follow
0.08333333333333333,1.5,11.0,18.0,disk
0.07142857142857142,1.9285714285714284,13.0,27.0,zxid
0.1,1.1,9.0,11.0,fix
0.05,1.6,19.0,32.0,send
0.02631578947368421,1.131578947368421,37.0,43.0,add
0.1,1.0,9.0,10.0,persist
0.1,1.4000000000000001,9.0,14.0,applic
0.1111111111111111,1.0,8.0,9.0,crash
0.05555555555555555,1.1666666666666665,17.0,21.0,handl
0.03125,1.5625,31.0,50.0,watch
0.1,1.2000000000000002,9.0,12.0,report
0.058823529411764705,1.1764705882352942,16.0,20.0,restart
0.07142857142857142,1.2857142857142856,13.0,18.0,list
0.1111111111111111,1.6666666666666665,8.0,15.0,authent
0.08333333333333333,1.1666666666666665,11.0,14.0,patch
0.05555555555555555,1.0,17.0,18.0,race
0.1,1.5,9.0,15.0,timeout
0.1111111111111111,1.3333333333333333,8.0,12.0,manag
0.027777777777777776,1.1388888888888888,35.0,41.0,set
0.010638297872340425,1.478723404255319,93.0,139.0,zookeeper
0.0625,1.5,15.0,24.0,sync
0.1,1.1,9.0,11.0,procedur
0.1111111111111111,1.4444444444444444,8.0,13.0,member
0.018867924528301886,1.6037735849056602,52.0,85.0,connect
0.1111111111111111,1.1111111111111112,8.0,10.0,respons
0.018518518518518517,1.3333333333333333,53.0,72.0,fail
0.0625,1.625,15.0,26.0,close
0.010416666666666666,1.65625,95.0,159.0,server
0.1111111111111111,1.4444444444444444,8.0,13.0,port
0.1,1.1,9.0,11.0,detect
0.011904761904761904,2.1785714285714284,83.0,183.0,lead
0.08333333333333333,1.3333333333333333,11.0,16.0,leak
0.047619047619047616,1.2857142857142856,20.0,27.0,state
0.1111111111111111,1.0,8.0,9.0,version
0.0625,1.3125,15.0,21.0,exit
0.0625,1.25,15.0,20.0,method
0.07692307692307693,1.6923076923076925,12.0,22.0,address
0.021739130434782608,1.5217391304347825,45.0,70.0,keeper
0.1,1.2000000000000002,9.0,12.0,improve
0.058823529411764705,1.8235294117647058,16.0,31.0,socket
0.045454545454545456,1.6818181818181819,21.0,37.0,thread
0.07692307692307693,1.0,12.0,13.0,keep
0.1,0.9,9.0,9.0,inconsist
0.08333333333333333,1.8333333333333333,11.0,22.0,commit
0.09090909090909091,1.0,10.0,11.0,implement
0.1,1.4000000000000001,9.0,14.0,processor
0.058823529411764705,1.3529411764705883,16.0,23.0,load
0.1111111111111111,2.0,8.0,18.0,txn
0.03225806451612903,1.967741935483871,30.0,61.0,elect
0.045454545454545456,1.5454545454545454,21.0,34.0,number
0.1,1.1,9.0,11.0,system
0.0625,1.5,15.0,24.0,peer
0.058823529411764705,1.4705882352941175,16.0,25.0,chang
0.06666666666666667,1.0666666666666667,14.0,16.0,miss
0.05,1.1500000000000001,19.0,23.0,java
0.07142857142857142,1.5714285714285714,13.0,22.0,memori
0.08333333333333333,1.5,11.0,18.0,transfer
0.045454545454545456,1.4545454545454546,21.0,32.0,support
0.07142857142857142,1.5,13.0,21.0,cnxn
0.08333333333333333,1.6666666666666665,11.0,20.0,messag
0.03225806451612903,1.161290322580645,30.0,36.0,start
0.05263157894736842,1.263157894736842,18.0,24.0,call
0.03333333333333333,1.1333333333333333,29.0,34.0,function
0.1111111111111111,0.8888888888888888,8.0,8.0,part
0.1,1.5,9.0,15.0,packet
0.058823529411764705,1.0,16.0,17.0,bug
0.037037037037037035,1.222222222222222,26.0,33.0,case
0.041666666666666664,1.125,23.0,27.0,exception
0.07692307692307693,1.3076923076923077,12.0,17.0,provid
0.1,1.0,9.0,10.0,servic
0.07142857142857142,1.0,13.0,14.0,work
0.058823529411764705,1.2941176470588236,16.0,22.0,error
0.03333333333333333,1.0333333333333332,29.0,31.0,problem
0.1,1.2000000000000002,9.0,12.0,observ
0.1111111111111111,0.8888888888888888,8.0,8.0,control
0.030303030303030304,1.2424242424242424,32.0,41.0,creat
0.07142857142857142,1.2142857142857142,13.0,17.0,give
0.034482758620689655,1.7241379310344827,28.0,50.0,cluster
0.1,1.0,9.0,10.0,exist
0.1111111111111111,1.3333333333333333,8.0,12.0,expir
0.038461538461538464,2.0384615384615388,25.0,53.0,file
0.045454545454545456,1.0454545454545454,21.0,23.0,return
0.07692307692307693,1.5384615384615385,12.0,20.0,check
0.058823529411764705,1.3529411764705883,16.0,23.0,multipl
0.05,1.3,19.0,26.0,perform
0.058823529411764705,1.5294117647058822,16.0,26.0,write
0.06666666666666667,1.4,14.0,21.0,read
0.07692307692307693,2.0,12.0,26.0,epoch
0.02857142857142857,1.457142857142857,34.0,51.0,test
0.04,1.6,24.0,40.0,config
0.09090909090909091,0.9090909090909092,10.0,10.0,updat
0.008130081300813009,2.0,122.0,246.0,node
0.1111111111111111,0.8888888888888888,8.0,8.0,trace
0.03571428571428571,1.357142857142857,27.0,38.0,time
0.1,1.6,9.0,16.0,hang
0.07692307692307693,1.153846153846154,12.0,15.0,user
0.1111111111111111,0.8888888888888888,8.0,8.0,end
0.024390243902439025,1.4878048780487805,40.0,61.0,data
0.09090909090909091,1.0909090909090908,10.0,12.0,class
0.02857142857142857,1.5428571428571427,34.0,54.0,quorum
0.05,1.3,19.0,26.0,request
0.05263157894736842,1.4736842105263157,18.0,28.0,receiv
0.0625,1.625,15.0,26.0,snapshot
0.058823529411764705,1.1176470588235294,16.0,19.0,allow
0.06666666666666667,1.0666666666666667,14.0,16.0,ensembl
