TF,DF,Word
26,22,code
2,2,forget
3,3,skip
3,3,consum
3,3,abil
31,21,follow
17,11,disk
21,17,send
8,6,stable
7,6,introduc
2,2,sourc
10,6,multi
13,10,failur
3,3,re-elect
2,2,administr
14,12,list
2,2,upload
15,14,race
2,2,pleas
4,3,prevent
11,6,sync
4,4,second
2,2,leakag
2,2,design
10,7,port
2,2,compar
3,3,clock
3,3,learner
8,8,current
5,4,delet
9,8,version
6,5,fall
19,15,method
3,3,involv
3,3,closur
6,6,trunk
11,7,path
6,6,valu
2,2,wait
4,3,zkpython
6,5,queue
2,2,amount
5,5,zoo.cfg
3,3,clientcnxnsocketnio
2,2,action
26,16,chang
6,2,txn
50,27,elect
4,3,modul
5,5,ask
3,3,select
4,3,bookkeep
8,6,commun
3,2,hudson
3,2,datadir
5,5,relat
6,6,notic
2,2,enhanc
3,3,flag
6,4,indic
5,3,quorumcnxmanag
3,2,nettyservercnxn
5,4,join
3,3,restor
6,5,setup
15,14,work
7,3,histori
7,7,meet
2,2,electingfollow
8,8,control
18,14,give
4,3,process
5,3,lock
2,2,share
3,2,accept
2,2,abort
5,3,chroot
4,4,multipl
4,4,goal
4,3,secur
11,3,ledger
26,17,write
2,2,anyon
35,23,config
10,10,updat
2,2,product
3,3,stop
8,7,cours
2,2,shuffl
51,32,data
4,3,grow
2,2,alloc
2,2,syncrequestprocessor
6,2,bind
3,2,issu
3,2,callback
3,2,switch
4,3,environ
18,15,allow
4,4,enter
9,7,order
5,5,jira
3,2,adjust
3,2,rotat
7,5,move
5,5,increas
12,10,reconnect
8,5,quorump
26,13,zxid
11,5,group
2,2,monitor
2,2,segfault
9,5,window
8,7,persist
3,3,mail
9,8,crash
20,16,handl
5,5,initi
2,2,interrupt
2,2,workload
2,2,name
5,5,drop
3,3,revert
13,8,authent
6,3,mode
14,8,timeout
4,4,debug
3,3,side
10,4,truncat
4,4,mean
3,2,weight
6,4,booki
4,4,idea
11,9,procedur
3,3,replay
75,45,connect
20,16,happen
7,6,event
3,2,network
5,5,space
16,14,miss
2,2,testearlyleaderabandon
2,2,print
3,2,factori
3,2,randomaccessfil
5,4,situat
2,2,free
3,3,standalon
6,6,base
2,2,releas
5,4,byte
2,2,care
22,17,thread
8,6,synchron
14,13,keep
7,5,recov
2,2,thing
2,2,length
3,3,regress
3,3,assign
16,10,oper
3,3,major
5,3,notifi
5,4,render
34,21,number
5,4,restrict
6,3,kerbero
5,4,vote
4,3,open
8,5,size
9,8,system
19,11,messag
2,2,stack
5,4,attach
4,2,master
2,2,termin
4,4,store
6,5,listen
8,6,option
3,2,namespac
4,4,copi
5,5,specifi
2,2,selector
2,2,broadcast
7,7,part
6,5,attempt
2,2,c-client
13,10,provid
5,5,remov
3,3,tree
4,3,structur
2,2,charact
6,6,reus
2,2,balanc
3,3,argument
58,45,fail
11,7,expir
3,3,null
4,3,build
4,4,begin
9,9,trace
4,3,deploy
4,3,track
3,3,doio
3,3,reach
5,2,quota
2,2,phase
9,7,class
28,21,quorum
3,2,clear
15,13,request
25,14,snapshot
7,7,determin
2,2,review
6,6,show
2,2,random
48,22,session
4,3,protocol
2,2,impact
2,2,access
16,9,transact
7,5,cache
5,5,solut
22,16,state
3,3,latenc
6,6,count
2,2,mail.gmail.com
35,24,watch
12,9,report
19,16,restart
2,2,emb
15,12,patch
2,2,integr
3,2,partit
6,4,view
2,2,respond
10,9,set
3,3,dump
4,4,startup
12,8,packet
6,6,result
7,6,respons
8,5,corrupt
25,15,close
11,9,detect
4,2,parent
3,3,correctli
8,6,databas
2,2,someth
6,3,particip
2,2,figur
2,2,experi
2,2,accord
7,4,clientcnxn
2,2,solv
6,5,disconnect
2,2,popul
3,3,protect
4,2,region
9,9,inconsist
14,9,load
3,2,commitprocessor
19,11,address
4,2,interface
6,6,shutdown
2,2,toler
2,2,cancel
4,4,respect
2,2,runaway
3,3,duplic
14,12,java
2,2,devic
2,2,.
7,6,trigger
3,2,treat
13,10,improve
2,2,close_wait
2,2,multi-thread
4,3,thousand
3,3,understand
2,2,child
4,2,catch
2,2,repres
44,32,case
8,2,replic
24,21,exception
9,8,servic
3,3,properti
3,3,datatre
2,2,calcul
2,2,preprequestprocessor
15,12,error
5,2,invoc
11,8,observ
4,4,loop
4,2,propag
2,2,advantag
17,15,ensembl
50,28,cluster
3,3,motiv
22,20,return
26,19,perform
3,3,cross
2,2,wherein
13,8,member
13,8,epoch
5,4,throughput
8,7,complet
10,5,hostnam
16,9,hang
3,3,rais
14,12,user
11,10,implement
6,6,scenario
4,3,object
6,5,command
3,3,choos
5,4,identifi
2,2,bandwidth
4,3,kill
2,2,uptod
11,10,add
3,3,learner.java
3,3,newlead
3,2,transit
14,9,applic
2,2,format
13,8,read
3,3,know
4,3,loss
4,4,like
2,2,patrick
3,3,resolv
139,83,server
3,3,benefit
6,2,sendthread
4,4,manag
2,2,exceed
6,3,revers
5,4,diff
3,3,librari
3,3,scale
3,2,jute.maxbuff
41,35,lead
15,11,leak
3,3,avoid
2,2,backward
2,2,buffer
21,15,exit
8,6,condit
6,5,reproduc
110,49,leader
2,2,localhost
3,3,machin
4,4,core
4,4,investig
2,2,inspect
2,2,step
6,4,leadership
10,6,peer
21,11,socket
20,12,memori
2,2,clien
4,2,acl
15,7,commit
2,2,processor
8,5,block
3,3,ensur
7,2,file*
31,20,support
2,2,question
4,3,avail
30,25,start
2,2,reli
3,3,includ
2,2,forward
4,3,:
24,22,function
6,5,form
2,2,extend
7,7,default
5,3,record
5,4,limit
31,29,problem
5,3,deadlock
2,2,followerhandl
7,6,featur
42,32,creat
6,4,watcher
9,8,exist
41,25,file
22,14,check
5,2,encrypt
3,3,detail
2,2,trunc
2,2,valid
5,2,lookup
35,28,test
226,115,node
4,3,stat
6,4,notif
8,5,sasl
2,2,reduc
25,17,receiv
2,2,algorithm
2,2,logstream
7,4,directori
5,3,txnlog
2,2,ignor
34,26,time
3,3,push
3,2,zoo_add_auth
2,2,degrad
