TF,DF,Word
1,1,jira
4,4,code
1,1,identifi
1,1,enter
1,1,skip
3,3,move
3,3,session
1,1,abil
1,1,implement
2,1,quorump
1,1,zxid
1,1,show
3,3,solut
4,3,send
5,2,window
1,1,persist
1,1,stable
1,1,introduc
2,1,applic
1,1,random
4,3,return
3,2,handl
4,3,watch
1,1,multi
1,1,initi
1,1,failur
1,1,restart
1,1,name
1,1,like
1,1,patrick
1,1,drop
1,1,revert
3,3,resolv
26,14,server
2,2,provid
2,2,race
2,2,timeout
1,1,complet
1,1,manag
2,2,mean
1,1,prevent
6,3,revers
1,1,specifi
1,1,reconnect
1,1,list
1,1,startup
1,1,packet
1,1,upload
1,1,ensur
1,1,second
25,13,connect
1,1,respons
17,13,fail
5,1,close
2,2,happen
4,3,patch
6,4,port
1,1,librari
1,1,detect
2,2,lead
2,2,space
2,1,miss
1,1,avoid
1,1,particip
1,1,protocol
1,1,current
2,2,method
2,2,state
4,3,version
5,3,exit
7,5,leader
2,2,localhost
1,1,machin
3,1,clientcnxn
3,3,base
11,5,address
1,1,ask
3,2,path
1,1,improve
1,1,protect
6,4,socket
1,1,diff
1,1,keep
1,1,thing
1,1,length
2,2,zoo.cfg
2,2,chang
2,2,view
1,1,assign
2,1,load
1,1,cache
6,4,elect
2,2,trunk
2,2,number
1,1,solv
2,2,toler
1,1,vote
2,2,respect
2,2,open
1,1,runaway
4,2,java
2,2,commun
2,2,support
2,1,hudson
1,1,devic
2,2,system
2,2,messag
7,5,start
2,1,datadir
1,1,trigger
2,1,treat
2,1,leadership
4,2,time
1,1,close_wait
2,2,listen
5,4,function
1,1,option
1,1,form
1,1,namespac
1,1,thousand
2,2,relat
1,1,notic
1,1,broadcast
2,2,part
2,2,understand
1,1,procedur
1,1,correctli
5,3,case
3,3,exception
1,1,restor
1,1,default
3,3,setup
4,4,work
1,1,charact
1,1,calcul
1,1,reus
3,2,adjust
1,1,balanc
2,1,error
1,1,meet
2,2,problem
3,2,observ
2,2,loop
1,1,result
2,1,factori
5,5,creat
5,3,give
1,1,process
2,2,lock
1,1,argument
2,1,accept
3,1,watcher
8,4,cluster
2,1,exist
1,1,expir
11,6,file
4,2,check
1,1,secur
3,3,receiv
1,1,allow
2,1,member
3,1,epoch
1,1,valid
5,2,lookup
1,1,indic
4,3,test
1,1,environ
18,11,config
1,1,updat
27,14,node
1,1,product
10,5,hostnam
1,1,trace
2,1,deploy
1,1,stop
1,1,doio
1,1,hang
1,1,releas
3,3,user
4,2,data
2,2,class
4,3,quorum
4,2,directori
3,1,bind
3,3,clock
1,1,request
2,1,issu
4,1,write
2,2,snapshot
1,1,determin
5,4,ensembl
1,1,backward
1,1,order
