TF,DF,Word
1,1,function
1,1,prevent
1,1,followerhandl
1,1,code
4,2,give
1,1,lock
1,1,transit
1,1,packet
4,3,fail
2,1,kill
3,2,connect
1,1,file
1,1,respons
1,1,ensur
3,1,close
1,1,happen
3,2,miss
1,1,oper
2,1,leader
1,1,java
1,1,receiv
1,1,someth
3,3,send
3,1,state
1,1,testearlyleaderabandon
1,1,exit
1,1,persist
2,2,test
1,1,clientcnxnsocketnio
2,1,config
2,2,method
2,2,complet
9,5,node
1,1,investig
1,1,return
2,1,hostnam
3,3,handl
1,1,doio
5,3,hang
3,2,multi
1,1,initi
1,1,enhanc
1,1,crash
1,1,flag
2,1,leadership
1,1,notic
2,1,catch
1,1,path
1,1,restart
1,1,improve
3,3,case
4,3,exception
2,1,quorum
3,2,thread
1,1,list
1,1,resolv
3,2,server
3,1,sendthread
1,1,timeout
1,1,error
1,1,push
