TF,DF,Word
3,3,oper
2,2,code
2,1,identifi
1,1,forget
2,2,show
2,2,consum
1,1,bandwidth
15,7,session
1,1,abil
5,3,disk
2,1,rotat
1,1,involv
4,2,zxid
4,1,peer
3,2,group
2,2,monitor
3,3,transact
2,2,cache
1,1,solut
2,2,send
3,2,list
2,2,add
2,2,latenc
3,3,persist
3,2,detect
2,1,applic
1,1,sourc
3,2,crash
1,1,format
3,3,handl
13,10,watch
1,1,initi
1,1,failur
2,2,increas
1,1,enter
6,5,restart
1,1,re-elect
1,1,loss
2,2,workload
3,3,like
1,1,drop
1,1,revert
1,1,resolv
1,1,wait
20,15,server
1,1,random
3,3,default
1,1,benefit
4,4,race
5,2,timeout
1,1,debug
2,2,manag
1,1,mean
2,2,exceed
2,2,set
3,2,reconnect
2,2,dump
1,1,booki
1,1,startup
1,1,sync
4,3,packet
1,1,disconnect
3,3,second
1,1,design
13,11,connect
3,3,respons
11,10,fail
1,1,close
3,2,happen
2,1,histori
7,4,port
2,2,scale
3,2,jute.maxbuff
6,4,lead
1,1,space
1,1,miss
1,1,learner
2,2,current
1,1,buffer
4,3,state
1,1,version
4,4,exit
1,1,select
1,1,preprequestprocessor
2,2,experi
2,1,reproduc
11,5,leader
1,1,machin
1,1,accord
1,1,investig
1,1,partit
2,1,parent
1,1,reach
1,1,inspect
3,2,chang
1,1,free
2,2,base
3,3,ask
1,1,path
2,1,byte
4,4,improve
1,1,socket
7,5,thread
2,2,commun
1,1,count
4,4,keep
1,1,queue
1,1,thing
2,2,length
1,1,leadership
4,3,throughput
2,2,implement
1,1,view
1,1,processor
7,4,load
2,2,major
6,3,elect
1,1,render
3,2,commitprocessor
16,11,number
3,2,restrict
1,1,solv
3,3,motiv
1,1,ensur
1,1,respect
1,1,open
1,1,runaway
3,2,size
1,1,bookkeep
1,1,copi
5,4,memori
8,7,support
2,2,patch
1,1,devic
2,2,system
2,2,messag
1,1,.
1,1,avail
7,7,start
2,1,trigger
1,1,treat
1,1,popul
2,2,store
1,1,listen
1,1,attach
2,2,multi-thread
2,1,option
1,1,form
1,1,namespac
4,3,thousand
2,1,stable
1,1,flag
1,1,understand
3,2,procedur
1,1,child
2,1,quorumcnxmanag
10,5,case
1,1,exception
1,1,restor
3,2,provid
5,4,servic
1,1,work
1,1,charact
2,2,reus
2,2,limit
1,1,balanc
3,2,error
1,1,meet
4,4,problem
1,1,deadlock
2,2,observ
2,2,loop
1,1,result
3,3,control
2,2,function
2,2,featur
8,6,creat
1,1,give
3,1,lock
1,1,share
1,1,argument
9,5,cluster
1,1,abort
3,3,exist
1,1,expir
1,1,file
5,4,return
6,4,check
2,2,cours
4,2,perform
1,1,access
1,1,wherein
2,2,write
4,3,read
5,4,test
3,2,command
3,3,config
2,2,updat
57,26,node
1,1,care
1,1,product
1,1,relat
4,4,trace
2,1,deploy
2,1,track
1,1,stop
7,5,time
5,3,hang
4,1,quota
1,1,rais
1,1,user
3,3,data
3,2,grow
2,1,network
2,1,attempt
4,3,quorum
2,1,directori
6,6,request
1,1,issu
1,1,receiv
8,4,snapshot
4,4,allow
7,5,ensembl
1,1,degrad
