TF,DF,Word
1,1,jira
8,7,code
2,1,protocol
1,1,show
2,2,skip
4,2,move
1,1,learner
2,2,remov
1,1,cross
2,2,increas
14,5,session
4,3,reconnect
12,9,follow
1,1,environ
1,1,disk
2,2,quorump
1,1,involv
3,3,zxid
6,2,group
4,3,transact
1,1,solut
4,1,state
7,5,send
2,2,segfault
3,3,add
1,1,learner.java
1,1,persist
1,1,mail
2,2,newlead
1,1,corrupt
2,2,introduc
3,3,count
1,1,mail.gmail.com
1,1,crash
3,2,handl
6,4,watch
2,2,multi
2,2,initi
1,1,know
2,2,failur
1,1,report
1,1,enter
1,1,re-elect
3,2,loss
1,1,ignor
1,1,like
1,1,emb
1,1,list
2,2,authent
5,3,patch
1,1,race
3,1,sendthread
3,1,mode
5,3,timeout
1,1,debug
3,1,path
2,2,side
7,2,truncat
1,1,view
1,1,pleas
2,1,prevent
1,1,set
2,2,specifi
3,2,weight
1,1,peer
1,1,sync
1,1,procedur
1,1,ensur
10,6,connect
8,6,fail
1,1,close
2,2,happen
26,15,server
5,4,event
1,1,detect
1,1,trace
10,8,lead
4,2,databas
2,2,review
1,1,particip
1,1,cours
1,1,current
6,4,method
2,2,figur
8,4,exit
1,1,preprequestprocessor
2,1,fall
3,2,size
1,1,reproduc
32,15,leader
2,2,core
3,2,clientcnxn
1,1,inspect
1,1,situat
1,1,closur
1,1,standalon
6,4,address
1,1,releas
4,3,disconnect
2,2,byte
4,1,invoc
4,4,valu
1,1,trunc
1,1,region
1,1,synchron
1,1,acl
2,1,queue
1,1,amount
2,2,inconsist
1,1,electingfollow
1,1,regress
1,1,commit
2,2,implement
1,1,mean
1,1,processor
5,3,block
3,1,load
6,2,txn
1,1,major
20,10,elect
1,1,notifi
3,2,render
2,1,transit
1,1,trunk
3,2,number
1,1,uptod
1,1,restrict
1,1,solv
2,2,shutdown
2,1,kerbero
5,4,vote
2,2,respect
1,1,.
3,3,miss
2,2,duplic
3,3,java
1,1,advantag
2,1,commun
4,3,support
2,1,hudson
1,1,system
3,3,messag
2,2,class
4,3,start
1,1,reli
3,3,trigger
2,1,treat
2,2,forward
1,1,termin
1,1,attach
1,1,:
1,1,store
2,2,compar
5,5,function
1,1,startup
2,2,notif
1,1,notic
1,1,part
2,2,packet
1,1,logstream
2,1,catch
1,1,syncrequestprocessor
1,1,watcher
1,1,dump
2,2,correctli
7,5,case
8,6,exception
1,1,join
2,2,default
1,1,setup
4,3,work
1,1,structur
1,1,histori
3,3,datatre
4,2,record
1,1,calcul
1,1,limit
1,1,balanc
1,1,error
2,2,meet
8,7,problem
3,2,listen
7,4,observ
1,1,loop
2,2,control
2,1,propag
1,1,featur
14,12,creat
6,4,give
2,2,argument
4,2,indic
1,1,repres
1,1,cluster
5,2,expir
3,3,file
4,4,return
1,1,null
12,7,check
3,2,chroot
1,1,shuffl
1,1,goal
4,3,receiv
1,1,detail
1,1,port
5,3,member
1,1,read
5,4,epoch
1,1,valid
9,6,test
3,2,snapshot
3,3,properti
7,4,config
1,1,complet
34,20,node
1,1,begin
1,1,relat
3,3,allow
2,1,stable
1,1,deploy
7,6,time
1,1,quota
1,1,rais
3,3,user
1,1,applic
1,1,phase
4,3,data
5,3,chang
1,1,keep
1,1,reduc
2,2,attempt
4,3,quorum
1,1,scenario
1,1,choos
2,1,condit
4,3,request
3,2,perform
2,1,switch
3,3,write
1,1,command
3,3,determin
2,2,ensembl
4,3,sasl
3,1,interface
1,1,order
1,1,includ
