TF,DF,Word
1,1,jira
3,3,code
2,2,consum
1,1,detail
5,1,session
2,1,quorump
1,1,impact
3,1,member
8,2,transact
2,2,cache
2,1,send
1,1,window
1,1,latenc
3,1,applic
1,1,move
1,1,return
3,3,handl
1,1,watch
2,1,failur
2,1,report
1,1,drop
1,1,list
3,2,method
1,1,updat
1,1,manag
1,1,mean
1,1,prevent
3,2,booki
1,1,idea
3,2,procedur
5,4,connect
1,1,respons
1,1,fail
3,1,close
1,1,happen
2,2,server
1,1,scale
3,3,lead
1,1,space
1,1,avoid
1,1,learner
1,1,current
1,1,delet
3,1,state
1,1,exit
3,2,leader
1,1,machin
1,1,core
1,1,free
1,1,trunk
1,1,popul
1,1,wait
2,2,thread
2,1,zkpython
2,1,synchron
1,1,count
1,1,clien
2,1,recov
1,1,throughput
1,1,regress
1,1,commit
2,2,implement
1,1,elect
1,1,transit
1,1,address
13,6,number
1,1,ensur
3,2,bookkeep
2,2,java
1,1,advantag
3,2,memori
1,1,support
1,1,devic
1,1,includ
6,5,improve
1,1,function
1,1,multi-thread
1,1,thousand
1,1,relat
1,1,notic
1,1,enhanc
1,1,broadcast
1,1,flag
1,1,part
1,1,packet
1,1,child
1,1,case
1,1,exception
1,1,servic
1,1,work
4,1,histori
1,1,reus
1,1,error
1,1,motiv
1,1,observ
1,1,result
1,1,control
1,1,featur
6,3,creat
1,1,ensembl
2,1,cluster
1,1,exist
6,3,file
2,1,check
1,1,goal
8,4,perform
10,2,ledger
3,2,write
2,1,read
1,1,test
1,1,config
1,1,complet
20,10,node
2,1,stat
1,1,copi
1,1,trace
1,1,stop
3,2,object
1,1,user
1,1,phase
3,3,data
1,1,reduc
3,1,quorum
1,1,request
2,1,snapshot
3,2,allow
3,2,time
1,1,push
1,1,degrad
2,2,order
1,1,meet
