TF,DF,Word
2,2,load
4,3,code
1,1,product
6,2,session
7,5,follow
1,1,disk
2,1,quorump
2,1,delet
1,1,transact
3,1,cache
1,1,solut
2,2,send
2,1,window
1,1,stable
1,1,applic
1,1,sourc
3,3,return
2,1,handl
8,4,watch
2,2,fall
1,1,report
4,3,restart
10,6,server
1,1,default
6,5,race
1,1,updat
1,1,remov
2,1,truncat
1,1,view
1,1,set
1,1,startup
1,1,sync
1,1,packet
1,1,replay
1,1,result
1,1,respect
8,6,fail
2,1,close
2,2,happen
1,1,patch
1,1,event
1,1,librari
3,2,detect
8,6,lead
2,2,databas
5,1,file*
5,4,method
4,4,state
1,1,testearlyleaderabandon
2,1,exit
1,1,print
6,5,condit
5,2,snapshot
13,7,leader
1,1,stat
1,1,core
4,2,parent
4,2,hang
1,1,inspect
1,1,closur
1,1,trunk
1,1,peer
3,2,path
1,1,relat
1,1,valu
1,1,socket
7,6,thread
1,1,zkpython
2,1,synchron
3,2,keep
1,1,queue
1,1,inconsist
1,1,clientcnxnsocketnio
1,1,action
6,1,commit
2,1,chang
1,1,block
1,1,oper
4,2,notifi
1,1,number
1,1,ask
2,2,shutdown
1,1,cancel
2,1,diff
3,2,miss
4,4,start
1,1,system
7,2,messag
1,1,stack
2,1,attach
1,1,function
1,1,option
3,2,form
1,1,copi
1,1,specifi
1,1,idea
1,1,flag
1,1,part
1,1,child
5,5,case
3,1,multi
1,1,restor
1,1,provid
1,1,servic
1,1,tree
2,1,structur
1,1,reus
2,1,error
6,6,problem
2,1,deadlock
1,1,electingfollow
1,1,connect
2,2,control
6,3,creat
1,1,process
1,1,watcher
3,3,exist
1,1,expir
4,1,file
2,2,crash
2,2,null
1,1,check
1,1,cours
1,1,multipl
3,2,callback
3,3,perform
1,1,write
1,1,read
1,1,epoch
1,1,build
4,4,test
2,1,environ
2,1,complet
30,12,node
1,1,begin
2,1,notif
2,2,trace
1,1,reach
11,7,data
2,2,class
4,3,quorum
1,1,scenario
1,1,logstream
2,1,clear
1,1,txnlog
2,1,receiv
3,3,command
3,3,determin
3,2,time
3,2,zoo_add_auth
1,1,backward
3,2,order
