TF,DF,Word
1,1,consum
5,1,session
5,3,disk
1,1,send
1,1,window
1,1,return
3,2,handl
3,3,watch
1,1,initi
1,1,know
4,3,report
1,1,restart
1,1,revert
1,1,factori
2,1,timeout
2,1,snapshot
1,1,prevent
1,1,procedur
1,1,cancel
1,1,leakag
5,2,connect
1,1,respons
11,7,close
1,1,happen
1,1,patch
1,1,network
3,3,lead
2,2,space
15,11,leak
5,3,state
1,1,version
1,1,method
1,1,manag
2,1,randomaccessfil
1,1,clientcnxn
1,1,path
1,1,byte
1,1,improve
8,3,socket
1,1,thread
1,1,zkpython
2,1,keep
2,2,recov
1,1,load
1,1,transit
3,2,number
1,1,ensur
1,1,respect
2,1,size
1,1,java
14,8,memori
1,1,attach
1,1,care
1,1,start
2,2,function
2,2,selector
2,2,flag
1,1,case
1,1,c-client
6,6,exception
1,1,nettyservercnxn
1,1,servic
2,1,structur
1,1,error
2,2,meet
1,1,problem
5,2,server
2,2,result
1,1,creat
3,3,give
2,2,watcher
1,1,cluster
1,1,expir
4,3,file
1,1,crash
4,3,cours
1,1,receiv
1,1,write
1,1,command
1,1,config
1,1,complet
12,8,node
1,1,begin
1,1,buffer
1,1,object
2,1,hang
2,1,chroot
1,1,enhanc
3,2,data
2,2,alloc
1,1,syncrequestprocessor
1,1,clear
2,1,request
1,1,ignor
1,1,determin
1,1,push
